customer_id,external_ref,masked_email,masked_phone,city,signup_at,historical_value_paise,lifetime_value_paise,tier,do_not_contact_until,suppression_reason
cust_0001,MERCH-CUST-00001,ta*********@outlook.com,+91*****4820,Jaipur,2025-06-28T17:45:34+05:30,127797,777597,LOW,2026-05-17T00:00:00+05:30,chargeback_dispute
cust_0002,MERCH-CUST-00002,po*********@gmail.com,+91*****4855,Mumbai,2024-12-27T08:16:29+05:30,0,17449000,HIGH,,
cust_0003,MERCH-CUST-00003,si*****************@gmail.com,+91*****2407,Delhi,2025-09-20T15:13:08+05:30,765111,1744911,MEDIUM,,
cust_0004,MERCH-CUST-00004,is***********@gmail.com,+91*****2598,Kolkata,2024-11-08T08:17:07+05:30,3132723,3762423,MEDIUM,,
cust_0005,MERCH-CUST-00005,ka*************@outlook.com,+91*****6846,Hyderabad,2025-04-29T07:56:31+05:30,7410549,11959949,HIGH,,
cust_0006,MERCH-CUST-00006,aa*********@gmail.com,+91*****3017,Bengaluru,2025-04-10T21:31:52+05:30,227379,227379,LOW,,
cust_0007,MERCH-CUST-00007,ya*********@gmail.com,+91*****9693,Chennai,2025-09-02T16:19:18+05:30,356690,886490,LOW,,
cust_0008,MERCH-CUST-00008,ta*********@outlook.com,+91*****1749,Delhi,2026-01-30T22:29:02+05:30,597630,612530,LOW,,
cust_0009,MERCH-CUST-00009,de********@outlook.com,+91*****8917,Pune,2026-01-26T10:34:57+05:30,140498,140498,LOW,,
cust_0010,MERCH-CUST-00010,vi************@protonmail.com,+91*****2859,Ahmedabad,2024-11-14T10:54:13+05:30,0,279800,LOW,,
cust_0011,MERCH-CUST-00011,ka**********@gmail.com,+91*****7792,Delhi,2024-12-24T05:25:00+05:30,363467,443367,LOW,,
cust_0012,MERCH-CUST-00012,ra***********@gmail.com,+91*****8734,Kochi,2025-09-23T08:44:27+05:30,465562,465562,LOW,,
cust_0013,MERCH-CUST-00013,is********@protonmail.com,+91*****6880,Bengaluru,2026-02-04T21:18:48+05:30,138666,688466,LOW,,
cust_0014,MERCH-CUST-00014,pr***********@protonmail.com,+91*****2470,Kochi,2025-04-11T16:52:39+05:30,320305,470205,LOW,,
cust_0015,MERCH-CUST-00015,vi*************@protonmail.com,+91*****8073,Mumbai,2025-06-26T14:08:30+05:30,718077,7567577,HIGH,,
cust_0016,MERCH-CUST-00016,aa************@protonmail.com,+91*****8002,Chennai,2024-09-14T18:06:44+05:30,0,2349400,MEDIUM,,
cust_0017,MERCH-CUST-00017,ai***********@protonmail.com,+91*****1504,Pune,2024-10-17T12:47:35+05:30,668075,668075,LOW,,
cust_0018,MERCH-CUST-00018,ra**********@outlook.com,+91*****7555,Mumbai,2024-12-31T20:11:46+05:30,635937,635937,LOW,,
cust_0019,MERCH-CUST-00019,la****************@gmail.com,+91*****5423,Ahmedabad,2025-09-17T11:55:50+05:30,830903,830903,LOW,,
cust_0020,MERCH-CUST-00020,ma***********@outlook.com,+91*****7960,Hyderabad,2025-08-26T17:27:36+05:30,2926564,3756264,MEDIUM,,
cust_0021,MERCH-CUST-00021,ai************@outlook.com,+91*****5623,Ahmedabad,2025-01-22T09:44:34+05:30,2910356,21509756,HIGH,,
cust_0022,MERCH-CUST-00022,la****************@gmail.com,+91*****7841,Pune,2025-07-23T13:33:44+05:30,193370,193370,LOW,,
cust_0023,MERCH-CUST-00023,is*********@outlook.com,+91*****9284,Delhi,2026-02-02T23:36:54+05:30,1010083,2709783,MEDIUM,,
cust_0024,MERCH-CUST-00024,is************@outlook.com,+91*****8735,Hyderabad,2025-06-05T16:27:24+05:30,2007442,3357042,MEDIUM,,
cust_0025,MERCH-CUST-00025,an*************@gmail.com,+91*****8391,Delhi,2025-12-26T18:05:20+05:30,0,8799400,HIGH,,
cust_0026,MERCH-CUST-00026,ai************@gmail.com,+91*****4253,Jaipur,2025-05-05T10:23:28+05:30,0,2999600,MEDIUM,,
cust_0027,MERCH-CUST-00027,ai**********@protonmail.com,+91*****1003,Bengaluru,2025-03-12T16:15:57+05:30,832106,847006,LOW,,
cust_0028,MERCH-CUST-00028,di**********@outlook.com,+91*****4651,Jaipur,2025-11-14T09:28:08+05:30,322256,322256,LOW,,
cust_0029,MERCH-CUST-00029,sa*************@yahoo.in,+91*****4141,Kolkata,2025-09-17T22:33:47+05:30,155296,155296,LOW,,
cust_0030,MERCH-CUST-00030,sn**********@gmail.com,+91*****9834,Pune,2025-04-16T05:38:49+05:30,270048,399848,LOW,,
cust_0031,MERCH-CUST-00031,im************@outlook.com,+91*****7782,Hyderabad,2025-04-30T12:44:44+05:30,58284,207984,LOW,,
cust_0032,MERCH-CUST-00032,vi************@gmail.com,+91*****6444,Jaipur,2025-01-23T09:30:40+05:30,449128,749028,LOW,,
cust_0033,MERCH-CUST-00033,ka***************@protonmail.com,+91*****2478,Ahmedabad,2024-11-13T19:43:11+05:30,112333,127233,LOW,,
cust_0034,MERCH-CUST-00034,de********@yahoo.in,+91*****2124,Delhi,2025-01-03T00:55:00+05:30,125868,125868,LOW,,
cust_0035,MERCH-CUST-00035,sn***********@gmail.com,+91*****6024,Kochi,2025-10-13T10:04:31+05:30,2094147,2223947,MEDIUM,,
cust_0036,MERCH-CUST-00036,ni************@outlook.com,+91*****7328,Mumbai,2025-06-01T13:35:40+05:30,0,399900,LOW,,
cust_0037,MERCH-CUST-00037,aa***********@protonmail.com,+91*****5815,Chennai,2025-10-20T19:08:04+05:30,0,2149600,MEDIUM,,
cust_0038,MERCH-CUST-00038,sa************@gmail.com,+91*****4083,Mumbai,2025-08-04T16:05:42+05:30,12628121,17327721,HIGH,,
cust_0039,MERCH-CUST-00039,ar*************@yahoo.in,+91*****6272,Mumbai,2024-10-11T11:21:22+05:30,213035,472835,LOW,,
cust_0040,MERCH-CUST-00040,la************@protonmail.com,+91*****5873,Delhi,2025-08-25T18:55:50+05:30,0,5129300,HIGH,,
cust_0041,MERCH-CUST-00041,an************@protonmail.com,+91*****4061,Kochi,2025-09-01T22:07:01+05:30,62732,62732,LOW,,
cust_0042,MERCH-CUST-00042,ya************@protonmail.com,+91*****3741,Kochi,2025-11-13T15:09:07+05:30,857887,907787,LOW,,
cust_0043,MERCH-CUST-00043,sa**************@protonmail.com,+91*****9208,Chennai,2025-06-15T18:05:54+05:30,80191,480091,LOW,,
cust_0044,MERCH-CUST-00044,vi***********@outlook.com,+91*****5405,Jaipur,2026-02-20T07:02:18+05:30,426259,426259,LOW,,
cust_0045,MERCH-CUST-00045,ka**************@outlook.com,+91*****1543,Kochi,2025-08-04T03:54:33+05:30,0,2209500,MEDIUM,,
cust_0046,MERCH-CUST-00046,aa***********@gmail.com,+91*****3360,Kolkata,2024-11-21T09:07:54+05:30,359992,2639492,MEDIUM,,
